Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Do Murdoch		R	1976-1977	1981-1982	320	121	117	238	-32	155	36	1	14		921
Alexader Selivaov		R	1994-1995	2000-2001	459	121	114	235	-57	379	41	0	23	3	"1,105"
Dave Trottier		L	1928-1929	1938-1939	446	121	113	234		517					
Puch Broadbet		R	1918-1919	1928-1929	303	121	51	172		564					
Per-Erik Eklud		C	1985-1986	1993-1994	594	120	335	455	8	109	41	6	16	1	956
Travis Zajac	NJD	C	2006-2007	2014-2015	575	120	211	331	31	188	31	3	15	0	"1,163"
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Johy Gago		R	1930-1931	1939-1940	454	120	141	261		295					
Max Pacioretty	MTL	L	2008-2009	2014-2015	351	120	118	238	23	223	27	1	20	0	"1,075"
Troy Brouwer	WSH	R	2006-2007	2014-2015	479	120	107	227	-18	350	44	3	26	0	840
Calle Johasso		D	1987-1988	2003-2004	"1,109"	119	416	535	57	519	53	4	17	4	"1,922"
Igor Korolev		C	1992-1993	2003-2004	795	119	227	346	-29	330	28	7	21	2	983
Orlad Kurtebach		C	1960-1961	1973-1974	639	119	213	332	-38	628	21	4	10		
Orest Kidrachuk		C	1972-1973	1981-1982	508	118	261	379	122	648	19	8	15		990
Tomas Fleischma	FLA	L	2005-2006	2014-2015	542	118	173	291	-39	162	29	1	19	0	"1,099"
Hilliard Graves		R	1970-1971	1979-1980	556	118	163	281	-87	209	18	1	14		881
Stepha Lebeau		C	1988-1989	1994-1995	373	118	159	277	61	105	41	0	22	1	684
Mikko Makela		R	1985-1986	1994-1995	423	118	147	265	-3	139	34	4	11	2	629
Josef Beraek		L	1991-1992	2000-2001	531	118	144	262	-44	398	24	0	9	1	"1,122"
Chris Stewart	BUF	R	2008-2009	2014-2015	413	118	115	233	-34	479	27	1	18	0	916
Teppo Nummie		D	1988-1989	2008-2009	"1,372"	117	520	637	56	513	40	2	20	5	"2,051"
Kimmo Timoe	PHI	D	1998-1999	2013-2014	"1,092"	117	454	571	38	652	61	6	14	0	"1,935"
Niklas Sudstrom		R	1995-1996	2005-2006	750	117	232	349	45	256	17	7	17	5	882
Valeri Zelepuki		L	1991-1992	2000-2001	595	117	177	294	30	527	24	3	16	2	"1,019"
Gle Sharpley		C	1976-1977	1981-1982	389	117	161	278	-69	199	29	1	12		846
David Perro	EDM	L	2007-2008	2014-2015	450	117	153	270	14	336	27	3	15	0	911
Joas Hoglud		R	1996-1997	2002-2003	545	117	145	262	-4	112	25	2	21	4	"1,264"
Keith Joes		R	1992-1993	2000-2001	491	117	141	258	53	765	30	1	22	0	849
Patric Horqvist	PIT	R	2008-2009	2014-2015	391	117	125	242	44	185	39	0	25	0	"1,258"
Daiel Marois		R	1987-1988	1995-1996	350	117	93	210	-60	419	34	0	8	3	714
Georges Boucher		D	1917-1918	1931-1932	449	117	87	204		838					
Garry Moaha		L	1967-1968	1978-1979	748	116	169	285	-4	484	15	6	17		"1,304"
Bria Nooa		R	1987-1988	1998-1999	629	116	159	275	-37	518	38	2	21	7	"1,053"
Paul MacDermid		R	1981-1982	1994-1995	690	116	142	258	-14	"1,303"	19	0	18	3	754
Tyler Segui	DAL	C	2010-2011	2014-2015	312	116	127	243	75	90	27	0	21	0	946
Ige Hammarstrom		L	1973-1974	1978-1979	427	116	123	239	-22	86	17	0	17		948
Tim Horto		D	1949-1950	1973-1974	"1,446"	115	403	518	81	"1,611"	7	1	4		
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Dio Phaeuf	TOR	D	2005-2006	2014-2015	711	115	272	387	17	"1,001"	64	1	25	0	"1,915"
Ladislav Nagy		L	1999-2000	2007-2008	435	115	196	311	35	358	40	1	25	1	991
May Malhotra	MTL	C	1998-1999	2014-2015	965	115	177	292	-24	445	12	3	25	0	"1,157"
Matt Duchee	COL	C	2009-2010	2014-2015	367	115	168	283	-26	96	26	1	16	0	947
Eddie Wisema		R	1932-1933	1941-1942	456	115	165	280		136					
Nikolay Zherdev		R	2003-2004	2010-2011	421	115	146	261	-41	225	30	1	10	0	"1,103"
Douglas Smith		C	1981-1982	1989-1990	535	115	138	253	-131	624	24	4	9	0	"1,079"
Tom Williams		L	1971-1972	1978-1979	397	115	138	253	8	73	36	0	14		948
Tom Chorske		R	1989-1990	1999-2000	596	115	122	237	-2	225	6	11	14	0	921
Frak Fiiga		R	1923-1924	1936-1937	553	115	88	203		407					
Jyrki Lumme		D	1988-1989	2002-2003	985	114	354	468	76	620	36	8	23	4	"1,653"
Gerald Korab		D	1970-1971	1984-1985	975	114	341	455	58	"1,629"	37	4	13		"1,938"
Joha Garpelov		L	1990-1991	1999-2000	609	114	197	311	-65	276	33	1	16	4	871
David Haa		C	1981-1982	1996-1997	841	114	191	305	-55	942	5	22	20	2	826
Kyle Calder		L	1999-2000	2009-2010	590	114	180	294	-71	309	37	4	16	0	"1,005"
Gio Cavallii		L	1984-1985	1992-1993	593	114	159	273	1	507	17	1	17	2	"1,031"
Peter Lee		R	1977-1978	1982-1983	431	114	131	245	-54	257	22	1	18		961
Mike Doelly		L	1986-1987	1996-1997	465	114	121	235	10	255	15	4	14	0	985
David Booth	TOR	L	2006-2007	2014-2015	453	114	106	220	-17	181	23	0	18	0	"1,245"
Wally Hergesheimer		R	1951-1952	1958-1959	351	114	85	199		106					
Terry Ruskowski		C	1979-1980	1988-1989	630	113	313	426	-59	"1,354"	34	4	19	0	644
David Krejci	BOS	C	2006-2007	2014-2015	515	113	275	388	101	196	18	4	25	0	966
Bill Hay		C	1959-1960	1966-1967	506	113	273	386		244					
Jakub Voracek	PHI	R	2008-2009	2014-2015	479	113	215	328	24	201	26	0	12	0	"1,082"
David Vybory		R	2000-2001	2007-2008	543	113	204	317	-48	228	36	7	17	0	920
Matthew Baraby		R	1992-1993	2006-2007	834	113	187	300	5	"2,562"	8	0	15	2	"1,006"
Joh Druce		R	1988-1989	1997-1998	531	113	126	239	6	347	14	2	10	0	921
Steve Jese		L	1975-1976	1981-1982	438	113	107	220	-128	318	19	5	14		800
Ryae Clowe	NJD	L	2005-2006	2014-2015	491	112	197	309	7	618	32	0	11	0	"1,020"
Joh Marks		R	1972-1973	1981-1982	657	112	163	275	39	330	20	2	12		"1,085"
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Garry Howatt		L	1972-1973	1983-1984	720	112	156	268	41	"1,836"	3	0	14		815
Bria Lawto		C	1983-1984	1992-1993	483	112	154	266	-42	401	35	0	18	0	832
Mikhail Grabovski	NYI	C	2006-2007	2014-2015	453	112	152	264	3	273	26	1	15	0	875
Shea Doova		R	1994-1995	2009-2010	951	112	129	241	-90	705	7	10	20	0	"1,243"
Doug Wickeheiser		C	1980-1981	1989-1990	556	111	165	276	41	286	17	6	16	0	993
Dwight Foster		R	1977-1978	1986-1987	541	111	163	274	-44	420	11	13	9		654
Sergei Zholtok		C	1992-1993	2003-2004	588	111	147	258	-35	166	41	0	18	6	"1,085"
Chris Kelly	BOS	C	2003-2004	2014-2015	689	111	145	256	48	355	4	8	16	0	987
Ace Bailey		R	1926-1927	1933-1934	313	111	82	193		472					
Pavel Kubia		D	1997-1998	2011-2012	970	110	276	386	-102	"1,123"	54	5	28	1	"1,748"
Pierre-Marc Bouchard		C	2002-2003	2013-2014	593	110	246	356	6	190	30	0	20	0	979
Todd Elik		L	1989-1990	1996-1997	448	110	219	329	15	453	31	3	12	4	902
Roald Wilso		C	1979-1980	1993-1994	832	110	216	326	-42	415	20	13	10	0	"1,133"
Kris Versteeg	CHI	L	2007-2008	2014-2015	440	110	155	265	24	259	27	9	14	0	951
Kevi Lavallee		L	1980-1981	1986-1987	366	110	125	235	-16	85	24	0	10		757
James Jr. Sadlak		R	1985-1986	1995-1996	549	110	119	229	-27	821	28	1	16	4	946
Scottie Upshall	FLA	L	2002-2003	2014-2015	508	110	117	227	14	472	17	2	20	1	"1,096"
Chris Nila		R	1979-1980	1991-1992	688	110	115	225	-7	"3,043"	7	0	11	0	820
Paul Gage		L	1980-1981	1989-1990	390	110	101	211	-110	127	26	0	11	0	655
Chuck Kobasew		R	2002-2003	2013-2014	601	110	100	210	-33	394	30	4	20	0	909
Alex Shibicky		R	1935-1936	1945-1946	324	110	91	201		161					
David Clarkso	TOR	R	2006-2007	2014-2015	517	110	82	192	-48	894	26	0	22	0	"1,192"
Carso Cooper		R	1924-1925	1931-1932	294	110	57	167		111					
Wade Redde		D	1996-1997	2012-2013	"1,023"	109	348	457	160	665	53	1	21	3	"1,805"
Sheldo Souray	ANA	D	1997-1998	2012-2013	758	109	191	300	-22	"1,145"	51	5	22	1	"1,770"
Wes Walz		C	1989-1990	2007-2008	607	109	151	260	23	343	8	14	18	0	878
Joe Klukay		L	1942-1943	1955-1956	566	109	127	236		189					
Patrik Berglud	STL	C	2008-2009	2014-2015	466	109	120	229	22	150	28	4	14	0	911
Jack McItyre		D	1949-1950	1959-1960	499	109	102	211		173					
Erest Araso		R	1971-1972	1978-1979	401	109	90	199	-71	122	23	0	11		947
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Mike McEwe		D	1976-1977	1987-1988	716	108	296	404	-36	460	43	1	13	0	"1,721"
Marty McSorley		D	1983-1984	1999-2000	961	108	251	359	-18	"3,381"	13	8	8	4	"1,424"
Ted Hampso		C	1959-1960	1971-1972	676	108	245	353	-57	94	20	7	8		
Edgar Laprade		C	1945-1946	1954-1955	500	108	172	280		42					
Adrew Cogliao	ANA	C	2007-2008	2014-2015	573	108	138	246	-3	190	8	10	21	0	891
Reg Flemig		D	1959-1960	1970-1971	749	108	132	240	-24	"1,468"	4	1	2		
James va Riemsdyk	TOR	L	2009-2010	2014-2015	355	108	112	220	-7	186	28	3	20	0	986
Joe Lamb		R	1927-1928	1937-1938	443	108	101	209		601					
George Sulliva		C	1949-1950	1960-1961	557	107	239	346		441					
Reijo Ruotsalaie		D	1981-1982	1989-1990	446	107	237	344	60	180	37	0	16	0	"1,379"
Garet Bailey		L	1968-1969	1977-1978	568	107	171	278	-75	633	14	3	12		887
Bep Guidoli		L	1942-1943	1951-1952	519	107	171	278		606					
Bud Poile		R	1942-1943	1949-1950	311	107	122	229		91					
Chad Kilger		L	1995-1996	2007-2008	714	107	111	218	-44	363	8	5	12	1	835
Doug Bodger		D	1984-1985	1999-2000	"1,071"	106	422	528	-36	"1,007"	61	1	10	1	"2,037"
Serge Savard		D	1966-1967	1982-1983	"1,040"	106	333	439	460	592	22	9	13		
Mike Gree	WSH	D	2005-2006	2014-2015	525	106	221	327	45	392	52	1	18	0	"1,260"
Bret Burs	SJS	D	2003-2004	2014-2015	665	106	206	312	10	443	37	0	19	0	"1,411"
Charlie Burs		C	1958-1959	1972-1973	749	106	198	304	-25	252	2	6	5		
Kyle Okposo	NYI	R	2007-2008	2014-2015	421	106	175	281	-51	255	25	0	16	0	"1,045"
Rob DiMaio		R	1988-1989	2005-2006	894	106	171	277	-85	840	8	11	16	3	"1,187"
Ed Sadford		L	1947-1948	1955-1956	502	106	145	251		355					
Gle Skov		C	1949-1950	1960-1961	650	106	136	242		413					
Chris Neil	OTT	R	2001-2002	2014-2015	883	106	127	233	-7	"2,265"	16	0	12	0	"1,132"
Blair Chapma		R	1976-1977	1982-1983	402	106	125	231	-44	158	23	0	15		741
Pete Horeck		L	1944-1945	1951-1952	426	106	118	224		340					
Brad Isbister		L	1997-1998	2007-2008	541	106	116	222	-43	615	26	1	16	3	987
Normie Himes		C	1926-1927	1934-1935	402	106	113	219		127					
Doug Crossma		D	1980-1981	1993-1994	914	105	359	464	34	534	50	1	9	2	"1,490"
Michael O'Coell		D	1977-1978	1989-1990	860	105	334	439	39	605	38	6	10	1	"1,739"
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Kelly Buchberger		R	1986-1987	2003-2004	"1,182"	105	204	309	-177	"2,297"	5	13	26	2	"1,063"
Lidy Ruff		L	1979-1980	1990-1991	691	105	195	300	-17	"1,264"	17	2	22	0	"1,153"
Eddie Shore		D	1926-1927	1939-1940	550	105	179	284		"1,047"					
Billy Reay		C	1943-1944	1952-1953	479	105	162	267		202					
Day Lewicki		L	1950-1951	1958-1959	461	105	135	240		177					
Floyd Curry		R	1947-1948	1957-1958	601	105	99	204		147					
Robert Picard		D	1977-1978	1989-1990	899	104	319	423	-43	"1,025"	26	5	18	1	"1,915"
Barry Beck		D	1977-1978	1989-1990	615	104	251	355	31	"1,016"	38	4	10	0	"1,480"
Willie Huber		D	1978-1979	1987-1988	655	104	217	321	-203	950	33	4	10	1	"1,587"
Sam Gager	ARI	C	2007-2008	2014-2015	511	104	202	306	-85	260	30	1	7	0	"1,073"
Dea Talafous		C	1974-1975	1981-1982	497	104	154	258	-76	163	23	5	13		755
Tie Domi		R	1989-1990	2005-2006	"1,020"	104	141	245	-54	"3,515"	9	0	10	1	964
Maso Raymod	CGY	L	2007-2008	2014-2015	471	104	126	230	11	144	26	3	17	0	"1,056"
Adam Brow		L	1941-1942	1951-1952	391	104	113	217		378					
Evader Kae	WPG	L	2009-2010	2014-2015	346	104	108	212	-8	373	16	3	17	0	"1,159"
Terry Marti		L	1975-1976	1984-1985	479	104	101	205	-48	202	13	3	10		583
Real Chevrefils		L	1951-1952	1958-1959	387	104	97	201		185					
Alai Cote		L	1979-1980	1988-1989	696	103	190	293	17	383	2	10	8	0	920
Lou Agotti		C	1964-1965	1973-1974	653	103	186	289	-4	228	16	2	16		
P.J. Axelsso		L	1997-1998	2008-2009	797	103	184	287	-26	276	10	10	14	1	"1,359"
Steve Ott	STL	C	2002-2003	2014-2015	726	103	170	273	-47	"1,387"	28	4	16	0	"1,014"
Adrei Kostitsy		L	2005-2006	2011-2012	398	103	119	222	15	181	34	0	20	0	826
Chris Clark		R	1999-2000	2010-2011	607	103	111	214	-48	700	22	8	12	1	"1,023"
Jeff Skier	CAR	L	2010-2011	2014-2015	285	103	97	200	-44	154	26	0	13	0	949
Corb Deey		C	1917-1918	1927-1928	176	103	42	145		148					
Adrei Markov	MTL	D	2000-2001	2014-2015	797	102	356	458	34	425	54	3	19	0	"1,331"
Dave Maso		D	1986-1987	2001-2002	"1,103"	102	288	390	-6	"2,792"	43	3	7	2	"2,156"
Mike Alliso		R	1980-1981	1989-1990	499	102	166	268	31	630	19	4	12	0	558
Peter Ihacak		C	1982-1983	1989-1990	417	102	165	267	-45	175	28	0	5	0	657
Richard Park		R	1994-1995	2011-2012	738	102	139	241	-30	266	13	15	22	2	"1,151"
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Jorda Eberle	EDM	R	2010-2011	2014-2015	306	102	137	239	-36	80	26	3	16	0	748
Do Raleigh		C	1943-1944	1955-1956	535	101	219	320		96					
Paul Roty		C	1947-1948	1954-1955	488	101	211	312		103					
Ja Hrdia		C	1998-1999	2005-2006	513	101	196	297	13	341	35	1	15	2	619
Beoit Bruet		L	1988-1989	2001-2002	539	101	161	262	45	229	18	11	17	4	842
Matthew Lombardi		C	2003-2004	2012-2013	536	101	161	262	6	293	17	12	22	0	"1,061"
Paul Cyr		L	1982-1983	1991-1992	470	101	140	241	-47	623	20	4	10	0	898
Tret Huter		R	2001-2002	2011-2012	497	101	135	236	-5	209	24	1	17	0	"1,211"
Patrick Pouli		L	1991-1992	2001-2002	634	101	134	235	-30	299	13	6	16	1	845
Edward Bulley		L	1976-1977	1983-1984	414	101	113	214	8	704	13	0	20		637
Aders Kallur		C	1979-1980	1984-1985	383	101	110	211	42	149	17	19	12		594
Baldy Cotto		L	1925-1926	1936-1937	503	101	103	204		419					
Alla Staley		D	1948-1949	1968-1969	"1,244"	100	333	433	2	792	2	0	0		
Murph Chamberlai		L	1937-1938	1948-1949	510	100	175	275		769					
Garry Valk		L	1990-1991	2002-2003	777	100	156	256	-1	747	10	4	16	4	"1,047"
Michael Hough		L	1986-1987	1998-1999	707	100	156	256	-52	675	14	11	14	0	886
Todd Krygier		L	1989-1990	1997-1998	543	100	143	243	-26	533	14	5	12	6	"1,085"
Taylor Hall	EDM	L	2010-2011	2014-2015	272	100	143	243	-29	160	34	0	16	0	877
Jay Padolfo		L	1996-1997	2012-2013	899	100	126	226	-1	164	2	7	19	3	"1,123"
Jim McFadde		C	1946-1947	1953-1954	412	100	126	226		89					
Magus Arvedso		L	1997-1998	2003-2004	434	100	125	225	109	241	6	8	23	2	709
Dave McLlwai		C	1987-1988	1996-1997	501	100	107	207	-126	292	9	12	11	0	725
Shjo Podei		L	1992-1993	2002-2003	699	100	106	206	62	439	4	8	20	0	967
Brad Marchad	BOS	L	2009-2010	2014-2015	328	100	104	204	119	285	13	13	17	0	655
Paul Feto		L	1984-1985	1991-1992	411	100	83	183	-70	198	18	6	7	1	749
Marek Svatos		R	2003-2004	2010-2011	344	100	72	172	-4	217	33	0	20	0	764
Charles Huddy		D	1980-1981	1996-1997	"1,017"	99	354	453	241	785	31	3	8	1	"1,811"
Philip Russell		D	1972-1973	1986-1987	"1,016"	99	325	424	52	"2,038"	14	6	9		"1,763"
Zarley Zalapski		D	1987-1988	1999-2000	637	99	285	384	-28	684	39	4	12	2	"1,252"
Sami Salo		D	1998-1999	2013-2014	878	99	240	339	130	286	56	1	24	1	"1,581"
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Brado Dubisky	CBJ	C	2006-2007	2014-2015	502	99	186	285	31	640	19	8	17	0	"1,110"
Wojtek Wolski		L	2005-2006	2012-2013	451	99	168	267	17	113	18	1	19	0	930
Neil Colville		C	1935-1936	1948-1949	464	99	166	265		213					
Peter Schaefer		L	1998-1999	2010-2011	572	99	162	261	60	200	17	12	15	0	863
Brya Hextall Jr.		C	1962-1963	1975-1976	549	99	161	260	-140	738	27	2	16		
Nick Foligo	CBJ	L	2007-2008	2014-2015	495	99	134	233	-8	441	26	0	18	0	818
Jerry Butler		R	1972-1973	1982-1983	641	99	120	219	-62	515	5	8	13		953
Charlie Sads		C	1932-1933	1943-1944	427	99	109	208		58					
Gerry O'Flaherty		L	1971-1972	1978-1979	438	99	95	194	-34	168	6	4	9		779
Darryl Sydor		D	1991-1992	2009-2010	"1,291"	98	409	507	21	755	43	1	10	2	"1,966"
Patrice Brisebois		D	1990-1991	2008-2009	"1,009"	98	322	420	1	623	46	1	20	2	"1,538"
Craig Hartsburg		D	1979-1980	1988-1989	570	98	315	413	-5	818	40	2	12	0	"1,492"
Brad Maxwell		D	1977-1978	1986-1987	612	98	270	368	-84	"1,292"	37	1	9		"1,431"
Beh Wilso		D	1978-1979	1987-1988	601	98	260	358	52	"1,480"	38	2	18	0	"1,244"
Dale Tallo		D	1970-1971	1979-1980	642	98	238	336	-111	568	40	2	17		"1,272"
David Lumley		R	1978-1979	1986-1987	437	98	160	258	40	680	9	1	15		609
Reyald Comeau		C	1971-1972	1979-1980	564	98	141	239	-10	175	9	5	16		871
Bobby Leiter		C	1962-1963	1975-1976	447	98	126	224	-56	144	27	0	11		
Marcel Boi		L	1952-1953	1961-1962	454	97	175	272		336					
Marty Reasoer		C	1998-1999	2012-2013	798	97	169	266	-34	379	15	4	10	0	"1,088"
Atti Miettie		R	2003-2004	2012-2013	539	97	133	230	-24	234	33	2	19	0	"1,014"
Jea-Pierre Bordeleau		R	1969-1970	1979-1980	519	97	126	223	-4	143	6	4	14		621
Bret Fedyk		L	1987-1988	1998-1999	470	97	112	209	-17	308	21	2	7	2	642
Robert Corkum		C	1989-1990	2001-2002	720	97	103	200	-73	281	4	10	9	2	"1,065"
Bruce Driver		D	1983-1984	1997-1998	922	96	390	486	13	670	39	3	7	5	"1,946"
Alexei Zhitik		D	1992-1993	2007-2008	"1,085"	96	375	471	-53	"1,268"	47	5	13	6	"2,188"
T.J. Oshie	STL	R	2008-2009	2014-2015	394	96	171	267	57	199	22	7	18	0	821
Stephae Yelle		C	1995-1996	2009-2010	991	96	169	265	7	490	8	11	11	0	"1,107"
Derek Plate		C	1993-1994	2000-2001	450	96	152	248	17	138	26	1	14	1	926
Ja Bulis		C	1997-1998	2006-2007	552	96	149	245	-3	268	13	3	18	1	894
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Gary Mcadam		R	1975-1976	1985-1986	534	96	132	228	-54	243	8	2	14		856
Richard Blight		R	1975-1976	1982-1983	326	96	125	221	-61	170	34	0	11		831
Gerry Ehma		R	1957-1958	1970-1971	429	96	118	214	-83	100	14	0	10		
Coli Patterso		R	1983-1984	1992-1993	504	96	109	205	93	239	3	5	8	0	612
Doald Kozak		R	1972-1973	1978-1979	437	96	86	182	-37	480	16	0	18		558
Christopher Oddleifso		C	1972-1973	1980-1981	524	95	191	286	-12	464	16	5	8		631
Mikael Adersso		R	1985-1986	1999-2000	761	95	169	264	0	134	6	14	13	1	"1,117"
David Volek		L	1988-1989	1993-1994	396	95	154	249	-24	201	29	1	11	1	975
Dixo Ward		L	1992-1993	2002-2003	537	95	129	224	43	431	12	8	15	3	717
Odie Cleghor		R	1918-1919	1927-1928	181	95	34	129		142					
Harry Howell		D	1952-1953	1972-1973	"1,411"	94	324	418	-57	"1,298"	6	0	6		
Robert Dailey		D	1973-1974	1981-1982	561	94	231	325	62	814	29	3	12		"1,381"
Philippe Boucher		D	1992-1993	2008-2009	748	94	206	300	57	702	42	2	17	2	"1,642"
Bob Davidso		L	1934-1935	1945-1946	491	94	160	254		398					
Zdeo Ciger		L	1990-1991	2001-2002	352	94	134	228	-54	101	27	0	11	2	665
Jaso Williams		C	2000-2001	2011-2012	455	94	133	227	-2	157	32	1	16	1	801
Rem Murray		L	1996-1997	2005-2006	560	94	121	215	1	161	12	11	15	3	752
Joseph Sacco		L	1990-1991	2002-2003	738	94	119	213	-44	421	7	7	13	2	"1,153"
Ed Beers		L	1981-1982	1985-1986	250	94	116	210	19	256	39	0	7		575
Arro Asham		R	1998-1999	2013-2014	789	94	114	208	-42	"1,004"	7	2	9	1	859
Adre Proovost		L	1956-1957	1967-1968	556	94	104	198	0	408	0	0	0		
Murray Wilso		L	1972-1973	1978-1979	386	94	95	189	73	162	8	1	17		582
Tom Kurvers		D	1984-1985	1994-1995	659	93	328	421	-35	350	44	2	10	2	"1,256"
Steve Chiasso		D	1986-1987	1998-1999	751	93	305	398	36	"1,107"	42	5	11	1	"1,875"
Mattias Ohlud	TBL	D	1997-1998	2010-2011	909	93	250	343	-6	885	36	5	19	1	"1,644"
Adrei Nikolishi		C	1994-1995	2003-2004	628	93	187	280	23	270	13	6	9	1	929
Dave Tippett		L	1983-1984	1993-1994	721	93	169	262	-52	317	2	14	13	0	946
Marty Pavelich		L	1947-1948	1956-1957	634	93	159	252		454					
Greg Terrio		C	1980-1981	1987-1988	561	93	150	243	-53	339	5	13	10	0	671
Bria Holziger		C	1994-1995	2003-2004	547	93	145	238	-62	339	21	7	15	2	805
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Billy Boucher		R	1921-1922	1927-1928	213	93	38	131		409					
Derek Morris		D	1997-1998	2013-2014	"1,107"	92	332	424	-44	"1,004"	38	4	22	3	"2,029"
Joe Corvo		D	2002-2003	2013-2014	708	92	218	310	25	241	40	2	21	0	"1,547"
Grat Marshall		R	1994-1995	2005-2006	700	92	147	239	-57	793	28	0	17	2	893
Kyle Wellwood		C	2003-2004	2012-2013	489	92	143	235	11	36	32	0	11	0	646
Ray Culle		C	1965-1966	1970-1971	313	92	123	215	-56	120	21	0	14		
Kyle Brodziak	MIN	C	2005-2006	2014-2015	571	92	121	213	-49	309	9	5	12	0	900
Alex Kaleta		L	1941-1942	1950-1951	387	92	121	213		190					
Robert Sirois		R	1974-1975	1979-1980	286	92	120	212	-53	42	23	1	7		718
Toy Currie		R	1977-1978	1984-1985	290	92	119	211	5	83	20	0	13		508
Claude Loiselle		C	1981-1982	1993-1994	616	92	117	209	-132	"1,149"	9	9	8	0	886
Sea Bergeheim	FLA	L	2003-2004	2014-2015	469	92	78	170	-38	355	11	8	14	0	"1,123"
Wildor Larochelle		R	1925-1926	1936-1937	474	92	74	166		211					
Fras Nielse	NYI	C	2006-2007	2014-2015	478	91	180	271	-5	92	16	12	9	0	886
Adreas Dackell		R	1996-1997	2003-2004	613	91	159	250	4	162	14	5	15	2	694
Todd Harvey		R	1994-1995	2005-2006	671	91	132	223	19	950	15	0	10	1	792
Dutch Hiller		L	1937-1938	1945-1946	383	91	113	204		163					
Staley Joatha		L	1975-1976	1982-1983	411	91	110	201	66	751	2	0	10		484
Blair MacDoald		R	1979-1980	1982-1983	219	91	100	191	-7	65	26	2	11		583
Grat Ledyard		D	1984-1985	2001-2002	"1,028"	90	276	366	-47	764	31	1	14	2	"1,670"
Risto Siltae		D	1979-1980	1986-1987	562	90	265	355	-76	266	53	1	8		"1,269"
Michel Petit		D	1982-1983	1997-1998	827	90	238	328	-172	"1,839"	38	2	10	0	"1,351"
Sea Avery		L	2001-2002	2011-2012	580	90	157	247	16	"1,533"	10	4	15	1	"1,167"
Ja Hlavac		L	1999-2000	2007-2008	436	90	134	224	-4	138	20	0	14	2	861
Jamal Mayers		R	1996-1997	2012-2013	915	90	129	219	-87	"1,200"	0	7	10	0	"1,229"
Corey Mille		C	1989-1990	1996-1997	335	90	119	209	36	236	27	3	8	3	582
Buster Harvey		R	1970-1971	1976-1977	407	90	118	208	-49	131	15	3	13		937
Jaso Wiemer		C	1994-1995	2005-2006	726	90	112	202	-81	"1,420"	21	2	11	3	"1,026"
Steve Berier	NJD	R	2005-2006	2014-2015	563	90	110	200	-15	267	22	1	12	0	883
Earl Seibert		D	1931-1932	1945-1946	645	89	187	276		746					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Derick Brassard	NYR	C	2007-2008	2014-2015	430	89	160	249	-37	240	31	0	14	0	802
Colby Armstrog		R	2005-2006	2012-2013	476	89	120	209	24	376	12	4	12	0	702
Nikolay Kulemi	NYI	L	2008-2009	2014-2015	452	89	118	207	-11	127	8	4	14	0	749
Mel Hill		R	1937-1938	1945-1946	324	89	109	198		128					
Georges Matha		D	1928-1929	1940-1941	488	89	102	191		148					
Michael Graber	NYI	R	2009-2010	2014-2015	288	89	55	144	-12	56	7	11	12	0	717
Doug Harvey		D	1947-1948	1968-1969	"1,113"	88	452	540	11	"1,216"	1	0	0		
Marcel Proovost		D	1949-1950	1969-1970	"1,206"	88	257	345	3	851	0	0	1		
Tyler Araso		C	2001-2002	2008-2009	487	88	157	245	-33	140	20	0	14	1	"1,120"
Paul Gillis		C	1982-1983	1992-1993	624	88	154	242	-76	"1,498"	6	4	10	0	745
Bob Basse		L	1985-1986	1999-2000	765	88	144	232	2	"1,004"	2	5	10	1	833
Cully Dahlstrom		C	1937-1938	1944-1945	342	88	118	206		58					
Pierre Jarry		L	1971-1972	1977-1978	344	88	117	205	-51	142	12	0	6		794
Phil Bourque		L	1983-1984	1995-1996	477	88	111	199	-64	516	10	10	13	1	659
Harry Camero		D	1917-1918	1922-1923	128	88	51	139		189					
Tomas Kaberle		D	1998-1999	2012-2013	984	87	476	563	17	260	32	1	16	2	"1,466"
